EmptyCells,Recursions
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,14
13,14
14,15
15,16
16,17
17,21
18,19
19,20
20,22
21,23
22,24
23,26
24,25
25,40
26,35
27,31
28,31
29,40
30,36
31,52
32,79
33,42
34,52
35,96
36,123
37,51
38,84
39,216
40,63
41,58
42,80
43,226
44,280
45,1270
46,859
47,1117
48,3826
49,361
50,159
51,1910
52,742
53,1562
54,5050
55,147
56,753
57,63
58,617
59,9984743
60,234
61,1516
62,354
63,299
64,423
65,2917
66,174
67,215
68,178
69,175
70,255
71,1563
72,299
73,153
74,228
75,106
76,276
77,385
78,309
79,389
80,391
81,392
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,15
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,24
20,21
21,22
22,23
23,24
24,29
25,35
26,27
27,34
28,31
29,52
30,31
31,51
32,65
33,95
34,90
35,49
36,56
37,74
38,66
39,63
40,68
41,82
42,44
43,199
44,137
45,248
46,142
47,253
48,252
49,2171
50,1006
51,713
52,275
53,209
54,648
55,260
56,589
57,79
58,160
59,84331
60,44222
61,116
62,169
63,279
64,202
65,148
66,267
67,321
68,414
69,189
70,355
71,302
72,220
73,153
74,302
75,181
76,384
77,309
78,339
79,365
80,391
81,392
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,16
15,16
16,17
17,19
18,20
19,28
20,21
21,23
22,24
23,24
24,29
25,28
26,29
27,42
28,33
29,30
30,32
31,44
32,37
33,102
34,55
35,57
36,39
37,122
38,42
39,44
40,88
41,55
42,86
43,96
44,146
45,233
46,2230
47,624
48,3323
49,72
50,261
51,174
52,2271
53,10456
54,665
55,116
56,475
57,45192
58,83
59,2739
60,68
61,3817
62,316
63,778
64,161
65,294
66,171
67,270
68,156
69,171
70,205
71,191
72,97
73,375
74,372
75,163
76,338
77,308
78,389
79,306
80,275
81,392
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,14
12,13
13,14
14,15
15,16
16,19
17,18
18,20
19,20
20,26
21,24
22,41
23,27
24,29
25,29
26,33
27,39
28,29
29,30
30,46
31,33
32,36
33,46
34,52
35,38
36,129
37,38
38,57
39,119
40,67
41,152
42,67
43,190
44,109
45,798
46,716
47,161
48,4125
49,943
50,275
51,322
52,143043
53,51409
54,326
55,74
56,717
57,162
58,104
59,211
60,129
61,192
62,306
63,564
64,187
65,620
66,148
67,96
68,403
69,97
70,118
71,161
72,196
73,175
74,385
75,359
76,382
77,191
78,179
79,390
80,207
81,392
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,17
16,17
17,18
18,20
19,20
20,21
21,22
22,25
23,27
24,37
25,29
26,34
27,28
28,30
29,35
30,32
31,32
32,39
33,48
34,38
35,36
36,39
37,52
38,79
39,48
40,1178
41,138
42,52
43,52
44,234
45,7166
46,438
47,1235
48,4214
49,1125
50,821
51,594
52,126
53,215
54,213
55,3106
56,12047
57,246
58,167
59,459
60,540
61,1793
62,107
63,150
64,191
65,345
66,132
67,149
68,193
69,98
70,162
71,149
72,420
73,191
74,372
75,292
76,228
77,230
78,336
79,160
80,338
81,392
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,15
13,14
14,15
15,16
16,17
17,18
18,20
19,20
20,21
21,22
22,23
23,27
24,25
25,29
26,38
27,28
28,32
29,43
30,33
31,34
32,47
33,49
34,42
35,70
36,43
37,60
38,56
39,140
40,54
41,45
42,171
43,520
44,64
45,311
46,180
47,2399
48,714
49,74
50,771
51,135
52,145
53,2043
54,96921
55,54228
56,311
57,315314
58,121
59,95
60,175
61,577
62,6914
63,906
64,292
65,588
66,112
67,151
68,147
69,451
70,424
71,296
72,151
73,268
74,150
75,270
76,155
77,388
78,197
79,390
80,391
81,392
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,14
13,14
14,15
15,17
16,17
17,19
18,27
19,20
20,25
21,22
22,23
23,25
24,25
25,26
26,39
27,31
28,29
29,32
30,36
31,32
32,48
33,45
34,48
35,74
36,59
37,47
38,181
39,106
40,67
41,302
42,49
43,47
44,220
45,69
46,790
47,411
48,389
49,252
50,895
51,433
52,440
53,286
54,1143
55,148
56,283
57,33242
58,1960
59,820
60,1346337
61,256
62,461
63,90
64,1240
65,203
66,285
67,151
68,174
69,135
70,213
71,169
72,167
73,154
74,813
75,408
76,436
77,318
78,204
79,204
80,391
81,392
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,24
21,22
22,32
23,24
24,26
25,27
26,31
27,37
28,54
29,30
30,48
31,35
32,37
33,37
34,56
35,55
36,46
37,45
38,287
39,44
40,50
41,94
42,69
43,152
44,91
45,214
46,2114
47,1019
48,100
49,422
50,1477
51,252
52,179
53,291
54,8035
55,5760
56,172
57,226
58,5456
59,2037
60,1031
61,1183
62,306
63,394
64,175
65,1355
66,115
67,125
68,103
69,131
70,187
71,115
72,302
73,135
74,144
75,357
76,259
77,366
78,388
79,324
80,391
81,392
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,14
13,14
14,15
15,16
16,17
17,19
18,19
19,25
20,22
21,23
22,23
23,26
24,26
25,32
26,29
27,30
28,39
29,33
30,57
31,46
32,45
33,43
34,47
35,47
36,62
37,48
38,96
39,71
40,175
41,100
42,150
43,47
44,70
45,300
46,57
47,214
48,4728
49,4120
50,6821
51,3490
52,2894
53,138
54,1022
55,264
56,6761
57,1526
58,99
59,164
60,102
61,600964
62,130
63,164
64,453
65,134
66,134
67,279
68,199
69,342
70,250
71,507
72,166
73,221
74,132
75,163
76,200
77,338
78,305
79,178
80,391
81,392
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,16
15,16
16,17
17,19
18,20
19,20
20,21
21,26
22,33
23,30
24,69
25,28
26,29
27,31
28,44
29,34
30,36
31,50
32,36
33,49
34,41
35,40
36,86
37,47
38,179
39,45
40,101
41,255
42,1169
43,213
44,5529
45,2597
46,118
47,254
48,219
49,768
50,5557
51,568
52,1798
53,260
54,4095
55,143
56,5334
57,2594
58,166
59,101
60,875
61,412
62,382
63,110
64,261
65,235
66,361
67,109
68,177
69,198
70,225
71,169
72,129
73,230
74,108
75,145
76,378
77,195
78,388
79,274
80,311
81,392
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,12
11,12
12,13
13,14
14,15
15,16
16,18
17,18
18,19
19,20
20,21
21,22
22,24
23,51
24,31
25,28
26,28
27,73
28,32
29,51
30,35
31,36
32,74
33,64
34,117
35,112
36,124
37,61
38,149
39,250
40,139
41,145
42,139
43,46
44,56
45,762
46,1492
47,51
48,166
49,110
50,64
51,848
52,102
53,155
54,707
55,1527
56,870
57,673
58,2376
59,359
60,148
61,68
62,161
63,111
64,3469
65,133
66,92
67,961
68,226
69,239
70,849
71,350
72,335
73,210
74,250
75,170
76,366
77,224
78,348
79,347
80,391
81,392
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,9
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,17
16,17
17,19
18,19
19,21
20,22
21,22
22,23
23,24
24,25
25,26
26,29
27,29
28,30
29,32
30,34
31,33
32,79
33,64
34,46
35,56
36,49
37,43
38,88
39,57
40,68
41,266
42,393
43,775
44,154
45,75
46,5179
47,567
48,533
49,272
50,1237
51,6575
52,1144
53,10116
54,74331
55,113
56,21248
57,120
58,270
59,796
60,35472
61,3979
62,152128
63,458
64,167
65,134993
66,147
67,183
68,92
69,216
70,264
71,351
72,483
73,174
74,149
75,349
76,251
77,140
78,339
79,390
80,307
81,392
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,16
14,15
15,16
16,17
17,18
18,20
19,20
20,21
21,22
22,42
23,24
24,25
25,26
26,28
27,39
28,29
29,30
30,32
31,35
32,53
33,65
34,41
35,101
36,47
37,59
38,54
39,45
40,141
41,78
42,267
43,93
44,172
45,121
46,309
47,2685
48,18194
49,18322
50,296
51,3441
52,1464
53,866
54,123
55,1158
56,3368
57,2315
58,193
59,74
60,1088678
61,584
62,14354
63,117
64,43336
65,104
66,853
67,378
68,268
69,136
70,414
71,526
72,144
73,320
74,155
75,155
76,163
77,164
78,202
79,365
80,391
81,392
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,16
15,16
16,17
17,18
18,19
19,20
20,23
21,22
22,23
23,34
24,31
25,27
26,27
27,29
28,29
29,34
30,33
31,35
32,35
33,61
34,35
35,43
36,147
37,49
38,43
39,131
40,176
41,58
42,53
43,60
44,452
45,93
46,934
47,2488
48,7393
49,1614
50,157
51,218
52,25085
53,48414
54,2601
55,111
56,34849
57,579
58,117
59,10563
60,393
61,233
62,967
63,190
64,375
65,101
66,186
67,184
68,78
69,93
70,158
71,319
72,295
73,373
74,134
75,246
76,222
77,268
78,389
79,383
80,391
81,392
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,17
16,18
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,28
26,31
27,41
28,52
29,32
30,53
31,42
32,59
33,49
34,133
35,55
36,41
37,39
38,47
39,62
40,46
41,75
42,54
43,729
44,1091
45,67
46,792
47,508
48,83
49,129
50,87
51,2139
52,89
53,1154
54,1917
55,976
56,131003
57,193
58,484
59,103
60,403
61,963
62,140
63,223
64,142
65,422
66,126
67,123
68,236
69,93
70,380
71,136
72,311
73,153
74,273
75,323
76,177
77,179
78,205
79,311
80,391
81,392
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,11
10,11
11,12
12,13
13,14
14,15
15,16
16,18
17,18
18,19
19,21
20,21
21,23
22,24
23,26
24,25
25,27
26,27
27,33
28,32
29,31
30,35
31,34
32,42
33,40
34,60
35,37
36,58
37,47
38,53
39,47
40,97
41,54
42,188
43,178
44,214
45,130
46,166
47,1329
48,1263
49,1001
50,81
51,1899
52,627
53,142
54,110
55,531
56,615
57,846
58,139
59,412
60,1992
61,221
62,3349
63,431
64,150
65,143
66,187
67,271
68,183
69,152
70,164
71,200
72,238
73,188
74,197
75,347
76,386
77,176
78,318
79,267
80,207
81,392
